rank,name,range,up_down
1,앤트맨과 와스프,0,na
2,마녀,0,na
3,변산,0,na
4,탐정: 리턴즈,0,na
5,인랑,2,up
6,허스토리,1,down
7,신과함께-인과 연,1,up
8,시카리오: 데이 오브 솔다도,2,down
9,미드나잇 선,0,na
10,쥬라기 월드: 폴른 킹덤,1,up
11,독전,1,down
12,오션스8,0,na
13,스카이스크래퍼,4,up
14,오 루시!,0,na
15,여중생A,2,down
16,더 펜션,1,down
17,아일라,1,down
18,킬링 디어,0,na
19,개들의 섬,1,up
20,인크레더블 2,1,up
21,속닥속닥,4,up
22,공작,3,down
23,어벤져스: 인피니티 워,1,up
24,빅샤크: 매직체인지,2,down
25,"오늘 밤, 로맨스 극장에서",2,up
26,착한 장모,3,down
27,아이 필 프리티,1,up
28,게이트,2,down
29,앤트맨,1,up
30,퓨처 월드,2,up
31,잉글랜드 이즈 마인,2,down
32,미션 임파서블: 폴아웃,1,up
33,어린 여배우,2,down
34,연애 : 엄마친구,2,up
35,서버비콘,2,up
36,버닝,1,down
37,램페이지,3,down
38,식구,1,up
39,몬몬몬 몬스터,7,up
40,레디 플레이어 원,0,na
41,트루스 오어 데어,3,down
42,하우스 오브 데스,6,up
43,시크릿 어페어,1,up
44,시카리오: 암살자의 도시,3,down
45,드래곤 프린세스,1,down
46,더 도메스틱,1,up
47,바르다가 사랑한 얼굴들,4,down
48,선녀는 몸으로 운다-감독판,6,up
49,추룡,7,down
50,이별의 아침에 약속의 꽃을 장식하자,3,up
